Year,Geography,Value
2015,,5.29
2015,Newfoundland and Labrador,4.9
2015,Prince Edward Island,3.03
2015,Nova Scotia,4.46
2015,New Brunswick,4.82
2015,Quebec,5.62
2015,Ontario,5.01
2015,Manitoba,7.47
2015,Saskatchewan,6.58
2015,Alberta,5.55
2015,British Columbia,3.97
2015,Yukon,9.62
2015,Northwest Territories,5.26
2015,Nunavut,27.46
2016,,5.28
2016,Newfoundland and Labrador,4.69
2016,Prince Edward Island,7.27
2016,Nova Scotia,5.69
2016,New Brunswick,5.69
2016,Quebec,5.0
2016,Ontario,5.29
2016,Manitoba,6.61
2016,Saskatchewan,7.12
2016,Alberta,5.26
2016,British Columbia,4.1
2016,Yukon,7.19
2016,Northwest Territories,6.94
2016,Nunavut,39.47
2017,,5.24
2017,Newfoundland and Labrador,4.87
2017,Prince Edward Island,3.05
2017,Nova Scotia,4.43
2017,New Brunswick,3.36
2017,Quebec,4.68
2017,Ontario,5.35
2017,Manitoba,8.23
2017,Saskatchewan,7.37
2017,Alberta,5.75
2017,British Columbia,3.73
2017,Northwest Territories,4.2
2017,Nunavut,27.27
2018,,5.48
2018,Newfoundland and Labrador,5.97
2018,Prince Edward Island,5.46
2018,Nova Scotia,4.23
2018,New Brunswick,3.91
2018,Quebec,4.89
2018,Ontario,5.24
2018,Manitoba,7.92
2018,Saskatchewan,6.82
2018,Alberta,6.3
2018,British Columbia,4.64
2018,Yukon,
2018,Northwest Territories including Nunavut,
2018,Northwest Territories,8.12
2018,Nunavut,70.56
2019,,5.13
2019,Newfoundland and Labrador,5.57
2019,Prince Edward Island,3.84
2019,Nova Scotia,6.0
2019,New Brunswick,5.07
2019,Quebec,4.86
2019,Ontario,5.11
2019,Manitoba,6.69
2019,Saskatchewan,7.16
2019,Alberta,5.18
2019,British Columbia,3.92
2019,Yukon,
2019,Northwest Territories including Nunavut,
2019,Northwest Territories,1.58
2019,Nunavut,46.75
2020,,5.24
2020,Newfoundland and Labrador,5.84
2020,Prince Edward Island,6.19
2020,Nova Scotia,4.82
2020,New Brunswick,5.14
2020,Quebec,4.88
2020,Ontario,4.84
2020,Manitoba,7.81
2020,Saskatchewan,8.61
2020,Alberta,5.78
2020,British Columbia,4.2
2020,Yukon,
2020,Northwest Territories including Nunavut,
2020,Northwest Territories,7.51
2020,Nunavut,25.79
2021,,4.94
2021,Newfoundland and Labrador,5.21
2021,Prince Edward Island,4.15
2021,Nova Scotia,4.84
2021,New Brunswick,5.04
2021,Quebec,4.75
2021,Ontario,4.81
2021,Manitoba,6.66
2021,Saskatchewan,6.55
2021,Alberta,5.38
2021,British Columbia,3.9
2021,Yukon,
2021,Northwest Territories including Nunavut,
2021,Northwest Territories,4.78
2021,Nunavut,30.3
