Year,Product,Value
2015/2016,Skim Milk Powder,31145.0
2015/2016,Cheese,8842.0
2015/2016,Other Milk Products,21982.0
2015/2016,Incorporated Products,19155.0
2016/2017,Skim Milk Powder,31024.0
2016/2017,Cheese,7122.0
2016/2017,Other Milk Products,6876.0
2016/2017,Incorporated Products,10639.0
2017/2018,Butter,182.0
2017/2018,Cheese,9754.0
2017/2018,Other Milk Products,36.0
2018/2019,Butter,585.0
2018/2019,Cheese,9299.0
2018/2019,Other Milk Products,89.0
2019/2020,Cheese,11696.0
2019/2020,Other Milk Products,37.0
2020,Cheese,3559.12
2020,Other Milk Products,11.74
2021,Cheese,0.0
2021,Other Milk Products,0.0
2021,Skim Milk Powder,0.0
2021,Incorporated Products,0.0
2021,Butter,0.0
