Year,Value,Series,GeoCode
2015,1880000000.0,Official development assistance on conservation and sustainable use of biodiversity,
2016,1630000000.0,Official development assistance on conservation and sustainable use of biodiversity,
2017,1850000000.0,Official development assistance on conservation and sustainable use of biodiversity,
2018,1700000000.0,Official development assistance on conservation and sustainable use of biodiversity,
2019,2200000000.0,Official development assistance on conservation and sustainable use of biodiversity,
2020,1900000000.0,Official development assistance on conservation and sustainable use of biodiversity,
2021,1990000000.0,Official development assistance on conservation and sustainable use of biodiversity,
2012,22.237,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,
2013,0.853,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,
2014,0.814,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,
2015,0.48,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,
2016,1.544,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,
2017,0.026,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,
2018,0.548,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,
2019,1.651,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,
2020,3.389,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,
2021,4.985,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,
